#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001bem.2	ECE1																							
uc001ben.1	AX747766																							
uc001beo.2	LOC100506801																							
uc001bep.1	AK098438																							
uc001beq.1	BC127868																							
uc001ber.3	NBPF3																							
uc001bes.3	NBPF3																							
uc001bet.3	ALPL																							
uc001beu.4	ALPL																							
uc001bev.3	RAP1GAP																							
uc001bew.3	RAP1GAP																							
uc001bex.3	RAP1GAP																							
uc001bey.3	RAP1GAP																							
uc001bez.1	RAP1GAP																							
uc001bfa.3	USP48																							
uc001bfb.3	USP48																							
uc001bfc.3	USP48																							
uc001bfd.1	USP48																							
uc001bfe.1	USP48																							
uc001bff.3	USP48																							
uc001bfg.1	LDLRAD2																							
uc001bfh.1	LDLRAD2																							
uc001bfi.3	HSPG2																							
uc001bfj.3	HSPG2																							
uc001bfk.3	CELA3B																							
uc001bfl.3	CELA3A																							
uc001bfm.4	LINC00339																							
uc001bfn.4	LINC00339																							
uc001bfp.3	CDC42																							
uc001bfq.3	CDC42																							
uc001bfr.3	CDC42																							
uc001bfs.4	WNT4																							
uc001bft.2	ZBTB40																							
uc001bfu.2	ZBTB40																							
uc001bfv.1	ZBTB40																							
uc001bfw.3	EPHA8																							
uc001bfx.1	EPHA8																							
uc001bfy.3	C1QA																							
uc001bga.4	C1QC																							
uc001bgc.4	C1QC																							
uc001bgd.3	C1QB																							
uc001bge.3	EPHB2																							
uc001bgf.3	EPHB2																							
uc001bgg.1	AK025975																							
uc001bgh.1	LOC729059																							
uc001bgi.2	KDM1A																							
uc001bgj.2	KDM1A																							
uc001bgk.2	LUZP1																							
uc001bgl.3	LUZP1																							
uc001bgm.1	LUZP1																							
uc001bgn.3	HTR1D																							
uc001bgo.3	HNRNPR																							
uc001bgp.4	HNRNPR																							
uc001bgr.4	HNRNPR																							
uc001bgs.4	HNRNPR																							
uc001bgt.3	ZNF436																							
uc001bgu.3	ZNF436																							
uc001bgw.3	C1orf213																							
